Section Index,Minimum Magnitude
0,6.855476796464595
1,6.855476796464595
2,6.855476796464595
3,6.855476796464595
4,6.855476796464595
5,6.855476796464595
6,6.855476796464595
7,6.855476796464595
8,6.855476796464595
9,6.855476796464595
10,6.855476796464595
11,6.855476796464595
12,6.855476796464595
13,6.855476796464595
14,6.855476796464595
15,6.855476796464595
16,6.855476796464595
17,6.855476796464595
18,6.855476796464595
19,6.855476796464595
20,6.855476796464595
21,6.855476796464595
22,6.855476796464595
23,6.855476796464595
24,6.855476796464595
25,6.855476796464595
26,6.855476796464595
27,6.855476796464595
28,6.855476796464595
29,6.855476796464595
30,6.855476796464595
31,6.855476796464595
32,6.855476796464595
33,6.855476796464595
34,6.855476796464595
35,6.855476796464595
36,6.855476796464595
37,6.855476796464595
38,6.855476796464595
39,6.855476796464595
40,6.855476796464595
41,6.855476796464595
42,6.855476796464595
43,6.855476796464595
44,6.855476796464595
45,6.855476796464595
46,6.855476796464595
47,6.855476796464595
48,6.855476796464595
49,6.855476796464595
50,6.855476796464595
51,6.855476796464595
52,6.855476796464595
53,6.855476796464595
54,6.855476796464595
55,6.855476796464595
56,6.855476796464595
57,6.855476796464595
58,6.855476796464595
59,6.855476796464595
60,6.855476796464595
61,6.855476796464595
62,6.855476796464595
63,6.855476796464595
64,6.855476796464595
65,6.855476796464595
66,6.855476796464595
67,6.855476796464595
68,6.855476796464595
69,6.855476796464595
70,6.855476796464595
71,6.855476796464595
72,6.855476796464595
73,6.855476796464595
74,6.855476796464595
75,6.855476796464595
76,6.855476796464595
77,6.855476796464595
78,6.855476796464595
79,6.855476796464595
80,6.855476796464595
81,6.855476796464595
82,6.855476796464595
83,6.855476796464595
84,6.855476796464595
85,6.855476796464595
86,6.855476796464595
87,6.855476796464595
88,6.855476796464595
89,6.855476796464595
90,6.855476796464595
91,6.855476796464595
92,6.855476796464595
93,6.855476796464595
94,6.855476796464595
95,6.855476796464595
96,6.855476796464595
97,6.855476796464595
98,6.855476796464595
99,6.855476796464595
100,6.855476796464595
101,6.855476796464595
102,6.855476796464595
103,6.855476796464595
104,6.855476796464595
105,6.855476796464595
106,6.855476796464595
107,6.855476796464595
108,6.855476796464595
109,6.855476796464595
110,6.855476796464595
111,6.855476796464595
112,6.855476796464595
113,6.855476796464595
114,6.855476796464595
115,6.855476796464595
116,6.855476796464595
117,6.855476796464595
118,6.855476796464595
119,6.855476796464595
120,6.855476796464595
121,6.855476796464595
122,6.855476796464595
123,6.855476796464595
124,6.855476796464595
125,6.855476796464595
126,6.855476796464595
127,6.855476796464595
128,6.855476796464595
129,6.855476796464595
130,6.855476796464595
131,6.855476796464595
132,6.855476796464595
133,6.855476796464595
134,6.855476796464595
135,6.855476796464595
136,6.855476796464595
137,6.855476796464595
138,6.855476796464595
139,6.855476796464595
140,6.855476796464595
141,6.855476796464595
142,6.855476796464595
143,6.855476796464595
144,6.855476796464595
145,6.855476796464595
146,6.855476796464595
147,6.855476796464595
148,6.855476796464595
149,6.855476796464595
150,6.855476796464595
151,6.855476796464595
152,6.855476796464595
153,6.855476796464595
154,6.855476796464595
155,6.855476796464595
156,6.855476796464595
157,6.855476796464595
158,6.855476796464595
159,6.855476796464595
160,6.855476796464595
161,6.855476796464595
162,6.855476796464595
163,6.855476796464595
164,6.855476796464595
165,6.855476796464595
166,6.855476796464595
167,6.855476796464595
168,6.855476796464595
169,6.855476796464595
170,6.855476796464595
171,6.855476796464595
172,6.855476796464595
173,6.855476796464595
174,6.855476796464595
175,6.855476796464595
176,6.855476796464595
177,6.855476796464595
178,6.855476796464595
179,6.855476796464595
180,6.855476796464595
181,6.855476796464595
182,6.855476796464595
183,6.855476796464595
184,6.855476796464595
185,6.855476796464595
186,6.855476796464595
187,6.855476796464595
188,6.855476796464595
189,6.855476796464595
190,6.855476796464595
191,6.855476796464595
192,6.855476796464595
193,6.855476796464595
194,6.855476796464595
195,6.855476796464595
196,6.855476796464595
197,6.855476796464595
198,6.855476796464595
199,6.855476796464595
200,6.855476796464595
201,6.855476796464595
202,6.855476796464595
203,6.855476796464595
204,6.855476796464595
205,6.855476796464595
206,6.855476796464595
207,6.855476796464595
208,6.855476796464595
209,6.855476796464595
210,6.855476796464595
211,6.855476796464595
212,6.855476796464595
213,6.855476796464595
214,6.855476796464595
215,6.855476796464595
216,6.855476796464595
